method,lambda,feature,coefficient
SCAD Logistic via LLA,0.5,V001,0.011202724370599451
SCAD Logistic via LLA,0.5,V002,0.12177678329427934
SCAD Logistic via LLA,0.5,V003,0.04356134200207759
SCAD Logistic via LLA,0.5,V005,0.1235671879491456
SCAD Logistic via LLA,0.5,V006,-0.14537306822433804
SCAD Logistic via LLA,0.5,V007,-0.025524967502143125
SCAD Logistic via LLA,0.5,V008,0.04838307678385156
SCAD Logistic via LLA,0.5,V009,0.07462783441744462
SCAD Logistic via LLA,0.5,V011,-0.1697755748361883
SCAD Logistic via LLA,0.5,V012,0.039401511801535165
SCAD Logistic via LLA,0.5,V013,0.08144789440128804
SCAD Logistic via LLA,0.5,V014,0.03312985299856872
SCAD Logistic via LLA,0.5,V015,-0.11529514735484943
SCAD Logistic via LLA,0.5,V016,0.05389926337298081
SCAD Logistic via LLA,0.5,V017,-0.021264234464453045
SCAD Logistic via LLA,0.5,V018,-0.04405307346595419
SCAD Logistic via LLA,0.5,V019,0.07550789989460979
SCAD Logistic via LLA,0.5,V020,-0.06319032695170244
SCAD Logistic via LLA,0.5,V021,-0.03022220137433092
SCAD Logistic via LLA,0.5,V022,0.1009049538909306
SCAD Logistic via LLA,0.5,V023,0.0056500918729255655
SCAD Logistic via LLA,0.5,V024,-0.08806122636824111
SCAD Logistic via LLA,0.5,V025,0.06980110160476709
SCAD Logistic via LLA,0.5,V026,0.06797678270089533
SCAD Logistic via LLA,0.5,V027,0.16322843642476215
SCAD Logistic via LLA,0.5,V028,0.050722014965266154
SCAD Logistic via LLA,0.5,V029,-0.21889879878573995
SCAD Logistic via LLA,0.5,V030,-0.012848206303907242
SCAD Logistic via LLA,0.5,V031,-0.028580522380085394
SCAD Logistic via LLA,0.5,V032,-0.0716812042403043
SCAD Logistic via LLA,0.5,V033,-0.02510963273330327
SCAD Logistic via LLA,0.5,V034,0.04393429482932464
SCAD Logistic via LLA,0.5,V035,-0.12130997861518729
SCAD Logistic via LLA,0.5,V036,0.00790202836070147
SCAD Logistic via LLA,0.5,V037,-0.010031104924490884
SCAD Logistic via LLA,0.5,V038,0.022307990797111626
SCAD Logistic via LLA,0.5,V039,-0.08951031037308219
SCAD Logistic via LLA,0.5,V040,0.010491325112688884
SCAD Logistic via LLA,0.5,V041,0.007844812693774784
SCAD Logistic via LLA,0.5,V042,0.12166373658156134
SCAD Logistic via LLA,0.5,V043,-0.11860509790404651
SCAD Logistic via LLA,0.5,V044,-0.05895085879078386
SCAD Logistic via LLA,0.5,V045,0.10559458875636127
SCAD Logistic via LLA,0.5,V046,-0.040669796315637316
SCAD Logistic via LLA,0.5,V047,0.11612676742956916
SCAD Logistic via LLA,0.5,V048,0.07948289982443102
SCAD Logistic via LLA,0.5,V049,0.9220488974166909
SCAD Logistic via LLA,0.5,V050,-0.09419087549596225
SCAD Logistic via LLA,0.5,V051,0.009602888988636784
SCAD Logistic via LLA,0.5,V052,-0.027889544030740475
SCAD Logistic via LLA,0.5,V053,0.006214415455972734
SCAD Logistic via LLA,0.5,V054,0.1539997748074198
SCAD Logistic via LLA,0.5,V055,0.0673365195578993
SCAD Logistic via LLA,0.5,V056,-0.10469655515467334
SCAD Logistic via LLA,0.5,V057,0.15796672906688886
SCAD Logistic via LLA,0.5,V058,-0.09088726190622748
SCAD Logistic via LLA,0.5,V059,0.039644763148865794
SCAD Logistic via LLA,0.5,V060,-0.01303666531740894
SCAD Logistic via LLA,0.5,V061,-0.14774623073969603
SCAD Logistic via LLA,0.5,V062,0.1676302079524311
SCAD Logistic via LLA,0.5,V063,0.03889842709396485
SCAD Logistic via LLA,0.5,V064,-0.09687920188976092
SCAD Logistic via LLA,0.5,V065,0.3161136198722446
SCAD Logistic via LLA,0.5,V066,-0.13236428202940237
SCAD Logistic via LLA,0.5,V067,-0.02993407731036473
SCAD Logistic via LLA,0.5,V068,0.06096865783301363
SCAD Logistic via LLA,0.5,V069,-0.006381797487624098
SCAD Logistic via LLA,0.5,V070,0.011747679636565936
SCAD Logistic via LLA,0.5,V071,-0.00317790034300702
SCAD Logistic via LLA,0.5,V072,-0.027334349321699005
SCAD Logistic via LLA,0.5,V073,-0.026999343229391456
SCAD Logistic via LLA,0.5,V074,0.13921087716418817
SCAD Logistic via LLA,0.5,V076,-0.0012132632287500296
SCAD Logistic via LLA,0.5,V077,0.0011873115449269772
SCAD Logistic via LLA,0.5,V078,0.05208604022398581
SCAD Logistic via LLA,0.5,V079,-0.04232538868526102
SCAD Logistic via LLA,0.5,V080,0.0021109593578189007
SCAD Logistic via LLA,0.5,V081,0.005919630923032525
SCAD Logistic via LLA,0.5,V082,-0.022148670182313177
SCAD Logistic via LLA,0.5,V083,-0.06852148406079683
SCAD Logistic via LLA,0.5,V084,0.08529374021151259
SCAD Logistic via LLA,0.5,V086,-0.0993762126172786
SCAD Logistic via LLA,0.5,V087,0.010848654101300686
SCAD Logistic via LLA,0.5,V088,-0.04525153504457736
SCAD Logistic via LLA,0.5,V089,-0.06624155454871483
SCAD Logistic via LLA,0.5,V090,-0.014185848306010298
SCAD Logistic via LLA,0.5,V091,-0.021191630712878225
SCAD Logistic via LLA,0.5,V092,-0.03641299950263092
SCAD Logistic via LLA,0.5,V094,-0.010652002565797382
SCAD Logistic via LLA,0.5,V095,-0.035826543566084834
SCAD Logistic via LLA,0.5,V096,0.028650317780905554
SCAD Logistic via LLA,0.5,V097,0.030661676335103024
SCAD Logistic via LLA,0.5,V098,-0.015500998754265454
SCAD Logistic via LLA,0.5,V099,0.016604836224590757
SCAD Logistic via LLA,0.5,V100,0.004379704834004154
SCAD Logistic via LLA,0.5,V101,0.010726572394365641
SCAD Logistic via LLA,0.5,V102,0.030820372495101358
SCAD Logistic via LLA,0.5,V103,0.008141371072777149
SCAD Logistic via LLA,0.5,V104,-0.09464712895197948
SCAD Logistic via LLA,0.5,V105,0.012622872925429268
SCAD Logistic via LLA,0.5,V107,0.07990846202575963
SCAD Logistic via LLA,0.5,V108,-0.005888643486696346
SCAD Logistic via LLA,0.5,V109,-0.0002241917811173654
SCAD Logistic via LLA,0.5,V110,-0.07581062853956676
SCAD Logistic via LLA,0.5,V111,-0.0011937048924121289
SCAD Logistic via LLA,0.5,V112,-0.013324970642082068
SCAD Logistic via LLA,0.5,V113,-0.013632444738492238
SCAD Logistic via LLA,0.5,V114,0.02460742499029027
SCAD Logistic via LLA,0.5,V115,0.026306664064819317
SCAD Logistic via LLA,0.5,V116,-0.05732778531096225
SCAD Logistic via LLA,0.5,V117,0.03837085515067281
SCAD Logistic via LLA,0.5,V118,0.05449982990305299
SCAD Logistic via LLA,0.5,V119,0.03447412197161147
SCAD Logistic via LLA,0.5,V120,0.08646907597867574
SCAD Logistic via LLA,0.5,V121,0.055404572066217524
SCAD Logistic via LLA,0.5,V122,0.0403070281924476
SCAD Logistic via LLA,0.5,V123,0.010020263802510783
SCAD Logistic via LLA,0.5,V124,-0.034314266590693115
SCAD Logistic via LLA,0.5,V125,0.004099689981966534
SCAD Logistic via LLA,0.5,V126,-0.05035339251773488
SCAD Logistic via LLA,0.5,V127,-0.03270019451472148
SCAD Logistic via LLA,0.5,V128,-0.1074035012923125
SCAD Logistic via LLA,0.5,V129,0.021121383357004243
SCAD Logistic via LLA,0.5,V130,0.024007787316972826
