method,lambda,nonzero_features,bic,train_time_sec,accuracy,auc,f1
L1 Logistic,0.5,483,5741.652531280468,1.2824104160026764,0.5833333333333334,0.6010222222222222,0.5791245791245792
Elastic Net Logistic,0.5,494,5823.963055511429,3.9127833749953425,0.5833333333333334,0.6006666666666667,0.5791245791245792
SCAD Logistic via LLA,0.5,483,5741.411815289455,5.263715250002861,0.5833333333333334,0.6013999999999999,0.5805369127516778
L1 Logistic,1.0,469,5641.492662727283,1.0867621659999713,0.5716666666666667,0.5999555555555556,0.5666104553119731
Elastic Net Logistic,1.0,487,5773.721912092852,3.455477666000661,0.5816666666666667,0.5996,0.5767284991568297
SCAD Logistic via LLA,1.0,469,5641.492662727283,5.0556236670017825,0.5716666666666667,0.5999555555555556,0.5666104553119731
L1 Logistic,2.0,436,5406.994498481364,0.5101740419995622,0.5733333333333334,0.5989666666666666,0.569023569023569
Elastic Net Logistic,2.0,467,5629.594123962983,2.996616208998603,0.57,0.5987666666666667,0.5656565656565656
SCAD Logistic via LLA,2.0,436,5406.994498481364,2.0936032079989673,0.5733333333333334,0.5989666666666666,0.569023569023569
L1 Logistic,5.0,383,5047.550895609462,0.14983045800181571,0.5833333333333334,0.6049,0.576271186440678
Elastic Net Logistic,5.0,426,5340.770450302507,1.9172512500008452,0.58,0.6002222222222222,0.5757575757575758
SCAD Logistic via LLA,5.0,383,5047.550895609462,0.5607357080007205,0.5833333333333334,0.6049,0.576271186440678
L1 Logistic,10.0,298,4490.16841899704,0.12923962499917252,0.5816666666666667,0.614311111111111,0.5767284991568297
Elastic Net Logistic,10.0,383,5051.854605147433,1.2974334999962593,0.5833333333333334,0.6054333333333333,0.576271186440678
SCAD Logistic via LLA,10.0,298,4490.16841899704,0.4841827080017538,0.5816666666666667,0.614311111111111,0.5767284991568297
L1 Logistic,20.0,173,3719.6447557599604,0.27494920800381806,0.5633333333333334,0.6254444444444445,0.5574324324324325
Elastic Net Logistic,20.0,300,4513.199340848877,0.8436996250020457,0.5733333333333334,0.6153111111111111,0.5704697986577181
SCAD Logistic via LLA,20.0,173,3719.6447557599604,0.9817298750058399,0.5633333333333334,0.6254444444444445,0.5574324324324325
L1 Logistic,50.0,11,2738.200667860721,0.05964312500145752,0.6116666666666667,0.6442222222222223,0.6057529610829103
Elastic Net Logistic,50.0,128,3459.9130400893887,0.5073387089942116,0.5883333333333334,0.6321111111111111,0.5748709122203098
SCAD Logistic via LLA,50.0,11,2738.200667860721,0.2809854169972823,0.6116666666666667,0.6442222222222223,0.6057529610829103
L1 Logistic,100.0,2,2711.4847710733766,0.04166750000149477,0.6316666666666667,0.6419222222222222,0.6310517529215359
Elastic Net Logistic,100.0,13,2757.5530246529743,0.3492167910007993,0.6133333333333333,0.6439555555555556,0.6067796610169491
SCAD Logistic via LLA,100.0,2,2711.4847710733766,0.18888254199555377,0.6316666666666667,0.6419222222222222,0.6310517529215359
L1 Logistic,200.0,1,2771.044878521919,0.02301104200159898,0.6266666666666667,0.6400055555555555,0.627906976744186
Elastic Net Logistic,200.0,4,2732.7875160661447,0.23003095800231677,0.6283333333333333,0.6433111111111111,0.626465661641541
SCAD Logistic via LLA,200.0,1,2771.044878521919,0.12137250000523636,0.6266666666666667,0.6400055555555555,0.627906976744186
