method,feature_map,classifier,components,train_time_sec,accuracy,auc,f1
Exact RBF-SVM,implicit RBF,SVC,,3.5244126670004334,0.5933333333333334,0.6307555555555555,0.5892255892255892
RFF + Logistic,RFF,Logistic,50.0,0.0302207080021617,0.5183333333333333,0.5183666666666666,0.5300813008130081
RFF + Linear SVM,RFF,Linear SVM,50.0,0.0334067910007434,0.5216666666666666,0.5176444444444445,0.5348460291734197
Nystroem + Logistic,Nystroem,Logistic,50.0,0.060670457998639904,0.58,0.5966,0.5757575757575758
Nystroem + Linear SVM,Nystroem,Linear SVM,50.0,0.0490659169954597,0.5666666666666667,0.5978111111111111,0.5652173913043478
RFF + Logistic,RFF,Logistic,100.0,0.05486991700308863,0.505,0.5060333333333333,0.5278219395866455
RFF + Linear SVM,RFF,Linear SVM,100.0,0.043577208001806866,0.505,0.5048888888888889,0.5248
Nystroem + Logistic,Nystroem,Logistic,100.0,0.088596083005541,0.5733333333333334,0.6041222222222222,0.5719063545150501
Nystroem + Linear SVM,Nystroem,Linear SVM,100.0,0.06158116699953098,0.5816666666666667,0.6036777777777778,0.5709401709401709
RFF + Logistic,RFF,Logistic,200.0,0.0732843750010943,0.53,0.5477888888888889,0.5236486486486487
RFF + Linear SVM,RFF,Linear SVM,200.0,0.058793542004423216,0.5383333333333333,0.5377555555555555,0.534453781512605
Nystroem + Logistic,Nystroem,Logistic,200.0,0.10686824999720557,0.585,0.6203111111111111,0.5743589743589743
Nystroem + Linear SVM,Nystroem,Linear SVM,200.0,0.1372907910044887,0.575,0.6188555555555556,0.5626072041166381
RFF + Logistic,RFF,Logistic,500.0,0.06788495799992234,0.5383333333333333,0.5574111111111111,0.5510534846029174
RFF + Linear SVM,RFF,Linear SVM,500.0,0.12680195799475769,0.5433333333333333,0.5452222222222223,0.5508196721311476
Nystroem + Logistic,Nystroem,Logistic,500.0,0.4072911670009489,0.5766666666666667,0.6167444444444444,0.5665529010238908
Nystroem + Linear SVM,Nystroem,Linear SVM,500.0,0.4130384160016547,0.5733333333333334,0.6134888888888889,0.5661016949152542
RFF + Logistic,RFF,Logistic,1000.0,0.22257687499950407,0.56,0.5890333333333333,0.5510204081632653
RFF + Linear SVM,RFF,Linear SVM,1000.0,0.3285084589952021,0.5533333333333333,0.5806222222222223,0.5472972972972973
Nystroem + Logistic,Nystroem,Logistic,1000.0,2.5446172500014654,0.5816666666666667,0.6226444444444444,0.5767284991568297
Nystroem + Linear SVM,Nystroem,Linear SVM,1000.0,2.7997918330001994,0.5716666666666667,0.6194444444444444,0.5709515859766278
