method,pca_components,gmm_components,covariance_type,bic,mean_em_lower_bound,converged,train_time_sec,accuracy,auc,f1
Class-conditional EM-GMM,5,1,diag,42338.25845737729,-10.550025837949411,True,0.12602962499659043,0.62,0.6850444444444445,0.6174496644295302
Class-conditional EM-GMM,5,2,diag,42290.49322192424,-10.500400090777543,True,0.027002083996194415,0.7183333333333334,0.7791666666666666,0.7178631051752922
Class-conditional EM-GMM,5,3,diag,42115.73238308291,-10.419166839878235,True,0.03410625000105938,0.7566666666666667,0.8287777777777776,0.75
Class-conditional EM-GMM,5,5,diag,41747.434734695984,-10.251092625233696,True,0.12776291699992726,0.7533333333333333,0.8315888888888889,0.7549668874172185
Class-conditional EM-GMM,5,8,diag,41429.72908359501,-10.057672895781277,True,0.039192791999084875,0.8083333333333333,0.8860888888888889,0.813614262560778
Class-conditional EM-GMM,5,1,tied,42292.005139319954,-10.503923732040167,True,0.010918708998360671,0.7033333333333334,0.7918666666666667,0.7119741100323624
Class-conditional EM-GMM,5,2,tied,42009.25129504601,-10.412900371945721,True,0.03209741700266022,0.6866666666666666,0.7797333333333334,0.6938110749185668
Class-conditional EM-GMM,5,3,tied,41942.147699144254,-10.375653370612522,True,0.070754542000941,0.755,0.8273444444444444,0.7529411764705882
Class-conditional EM-GMM,5,5,tied,41636.695263622365,-10.257780768579071,True,0.06621358299889835,0.7916666666666666,0.8667111111111111,0.7927031509121062
Class-conditional EM-GMM,5,8,tied,41378.64362218094,-10.13113670290225,True,0.07860137500392739,0.7733333333333333,0.877488888888889,0.782051282051282
Class-conditional EM-GMM,5,1,full,42292.005139319954,-10.503923732040167,True,0.01423295899439836,0.7033333333333334,0.7918666666666667,0.7119741100323624
Class-conditional EM-GMM,5,2,full,41974.703696550365,-10.352458412466554,True,0.03117995800130302,0.745,0.8350555555555556,0.746268656716418
Class-conditional EM-GMM,5,3,full,41691.47731398164,-10.20926279558249,True,0.0773632499985979,0.7883333333333333,0.8718111111111111,0.7921440261865794
Class-conditional EM-GMM,5,5,full,41351.13154289377,-9.979145294754442,True,0.12310887499916134,0.7833333333333333,0.8852444444444444,0.788961038961039
Class-conditional EM-GMM,5,8,full,41138.62451777332,-9.708603840480805,True,0.15150849999918137,0.835,0.9191777777777779,0.8379705400981997
Class-conditional EM-GMM,10,1,diag,77985.07799584344,-19.427191946171035,True,0.029263416996400338,0.62,0.6789999999999998,0.6212624584717608
Class-conditional EM-GMM,10,2,diag,78060.93253041286,-19.373960800528586,True,0.027853749998030253,0.715,0.7758444444444443,0.7096774193548387
Class-conditional EM-GMM,10,3,diag,78024.2124435558,-19.29274983723285,True,0.06504962500184774,0.7616666666666667,0.8307333333333334,0.7521663778162911
Class-conditional EM-GMM,10,5,diag,77876.16603475806,-19.11066981416588,True,0.15995345799456118,0.7666666666666667,0.8375777777777779,0.768976897689769
Class-conditional EM-GMM,10,8,diag,77855.15443278576,-18.88738186938911,True,0.04847354200319387,0.815,0.8918888888888888,0.8159203980099502
Class-conditional EM-GMM,10,1,tied,78388.40104348547,-19.372598214304446,True,0.15310416700231144,0.7016666666666667,0.7935333333333334,0.711755233494364
Class-conditional EM-GMM,10,2,tied,78172.51417066914,-19.281004929288585,True,0.14616866700089304,0.6966666666666667,0.7859,0.6946308724832215
Class-conditional EM-GMM,10,3,tied,78168.79414312172,-19.242233989384665,True,0.2056752089993097,0.7416666666666667,0.8252222222222222,0.7403685092127303
Class-conditional EM-GMM,10,5,tied,77892.80308225477,-19.09743557223579,True,0.3349718339959509,0.7633333333333333,0.8569333333333333,0.7687296416938111
Class-conditional EM-GMM,10,8,tied,77792.61890550118,-18.95840138645709,True,0.8045694999964326,0.795,0.8903666666666666,0.7918781725888325
Class-conditional EM-GMM,10,1,full,78388.40104348547,-19.372598214304446,True,0.054788624998764135,0.7016666666666667,0.7935333333333334,0.711755233494364
Class-conditional EM-GMM,10,2,full,78593.44146377672,-19.196275581244052,True,0.17475529100192944,0.7516666666666667,0.8377222222222223,0.7520798668885191
Class-conditional EM-GMM,10,3,full,78834.24666921896,-19.028669240563588,True,0.4960067499996512,0.81,0.8784111111111113,0.8155339805825242
Class-conditional EM-GMM,10,5,full,79635.44254008842,-18.77318463733405,True,0.590801874997851,0.815,0.8943222222222222,0.8165289256198347
Class-conditional EM-GMM,10,8,full,80846.43383373483,-18.39206902245862,True,0.8798857500005397,0.8266666666666667,0.9067333333333333,0.8317152103559871
Class-conditional EM-GMM,20,1,diag,148614.2179504251,-37.01539938202663,True,0.14437100000213832,0.63,0.6798111111111111,0.6430868167202572
Class-conditional EM-GMM,20,2,diag,148940.96421138674,-36.95587762680466,True,0.12102316600066843,0.705,0.7775444444444445,0.7121951219512195
Class-conditional EM-GMM,20,3,diag,149141.30119601998,-36.86464247546179,True,0.03555999999662163,0.7583333333333333,0.8502555555555555,0.763458401305057
Class-conditional EM-GMM,20,5,diag,149492.54793187074,-36.66927074252004,True,0.06364100000064354,0.7466666666666667,0.8417666666666668,0.7483443708609272
Class-conditional EM-GMM,20,8,diag,150112.45667924007,-36.39940584102315,True,0.06405158399866195,0.7833333333333333,0.8698111111111111,0.7840531561461794
Class-conditional EM-GMM,20,1,tied,150878.38430127024,-36.92520421823461,True,0.08383545799733838,0.6833333333333333,0.7720666666666667,0.703125
Class-conditional EM-GMM,20,2,tied,150783.87942216374,-36.829534845129714,True,0.12462920800317079,0.7066666666666667,0.7767555555555556,0.7124183006535948
Class-conditional EM-GMM,20,3,tied,150901.71702417725,-36.786572107930226,True,0.6057944579952164,0.7583333333333333,0.8488444444444445,0.7665056360708534
Class-conditional EM-GMM,20,5,tied,150796.93428182031,-36.61539543595345,True,0.4445316669953172,0.7516666666666667,0.8434999999999999,0.7569331158238173
Class-conditional EM-GMM,20,8,tied,151105.16223948574,-36.474924662559125,True,0.6148459590040147,0.765,0.8605888888888888,0.7707317073170732
Class-conditional EM-GMM,20,1,full,150878.38430127024,-36.92520421823461,True,0.048189375003858004,0.6833333333333333,0.7720666666666667,0.703125
Class-conditional EM-GMM,20,2,full,153005.28071066184,-36.65954503625696,True,0.20378341700416058,0.735,0.8255222222222222,0.7431340872374798
Class-conditional EM-GMM,20,3,full,155087.78647500073,-36.382369078143626,True,0.6517465409997385,0.785,0.8614333333333333,0.7874794069192751
Class-conditional EM-GMM,20,5,full,159548.40864466486,-35.90212767496996,True,1.0390616660006344,0.7766666666666666,0.8603777777777779,0.7852564102564102
Class-conditional EM-GMM,20,8,full,166655.328750533,-35.285138861509395,True,1.228427082998678,0.7716666666666666,0.8571666666666667,0.7779578606158833
