method,accuracy,bootstrap_mean_accuracy,ci_lower,ci_upper
Best FS: Random Forest + Random Forest (k=20),0.8916666666666667,0.89125,0.865,0.915
Best PCA: RBF-SVM (PCs=5),0.835,0.8348566666666666,0.805,0.8633333333333333
Gradient Boosting,0.755,0.754775,0.72,0.7867083333333332
Random Forest,0.7283333333333334,0.72745,0.6916666666666667,0.7617083333333333
Extra Trees,0.6816666666666666,0.6821083333333333,0.6482916666666666,0.7166666666666667
Best regularized: L1 Logistic (C=0.01),0.6316666666666667,0.6322266666666667,0.5932916666666667,0.6683333333333333
L1 Logistic,0.6316666666666667,0.6310683333333333,0.595,0.6667083333333332
Elastic Net Logistic,0.6133333333333333,0.6128783333333333,0.5716666666666667,0.6533333333333333
RBF-SVM,0.5983333333333334,0.5988,0.5583333333333333,0.6367083333333333
MLP,0.585,0.5851466666666666,0.5466249999999999,0.625
Linear SVM,0.58,0.5803216666666667,0.5416666666666666,0.6183333333333333
L2 Logistic,0.58,0.5803083333333334,0.5416666666666666,0.62
Logistic Regression,0.58,0.5794450000000001,0.5416249999999999,0.6216666666666667
LDA,0.5766666666666667,0.5761966666666666,0.5366666666666666,0.6150416666666666
Shrinkage LDA,0.5766666666666667,0.5767066666666667,0.5366666666666666,0.6183333333333333
Regularized QDA,0.5666666666666667,0.5667000000000001,0.5283333333333333,0.6066666666666667
KNN,0.5566666666666666,0.55622,0.516625,0.5950416666666666
Majority Class,0.5,0.49901500000000004,0.46,0.5383333333333333
