feature,anova_f,anova_p,mutual_information,l1_logistic_abs_coef,random_forest_importance,permutation_importance,permutation_importance_std,rfe_inverse_rank,rfe_rank,rank_ANOVA F-test,rank_Mutual Information,rank_L1 Logistic,rank_Random Forest,rank_Permutation Importance,rank_RFE
V001,0.011645799111793686,0.9140733954081066,0.0,0.0,0.001248261908298459,0.003400000000000003,0.0022000000000000023,0.1,10,456,247,299,454,106,401
V002,0.7217998676504674,0.39565594049276726,0.008393435138914551,0.0540003581225707,0.0017095406491796506,-0.0014000000000000013,0.0025377155080899064,0.3333333333333333,3,217,89,77,261,434,51
V003,0.2832407122176071,0.594644137622237,0.002236582513891694,0.016500893800305012,0.002007266687326224,0.004600000000000004,0.0026907248094147442,0.14285714285714285,7,318,191,208,97,59,251
V004,0.009260566938951147,0.9233460947800144,0.0,0.0,0.0016449428907172195,-0.0040000000000000036,0.0023664319132398483,0.09090909090909091,11,463,247,299,305,496,451
V005,3.614962994601536,0.05740573729940537,0.0016762181569052181,0.05632692152830771,0.0024072241280684316,0.0064000000000000055,0.004079215610874231,0.3333333333333333,3,47,209,71,35,32,51
V006,1.9288373121137519,0.1650404913561967,0.0,0.07404756789959094,0.0016829414525097904,0.005200000000000005,0.003487119154832542,0.3333333333333333,3,110,247,35,275,48,51
V007,0.5378842677005982,0.4633969213913062,0.0030320075902099397,0.006575434978988485,0.0016371190194746025,0.0,0.003687817782917158,0.1111111111111111,9,245,179,260,310,345,351
V008,0.46003360249439595,0.4976868123237273,0.0,0.0,0.0006116677224723623,-0.0014000000000000013,0.001280624847486571,0.16666666666666666,6,259,247,299,492,434,201
V009,0.18190256210621236,0.6697892281631755,0.0,0.008493873521647268,0.0014428627174535977,-0.00040000000000000034,0.0008000000000000006,0.16666666666666666,6,349,247,244,406,377,201
V010,0.1787723818571442,0.6724758657850476,0.0,0.0,0.0014617789669084992,-0.00040000000000000034,0.0029393876913398165,0.09090909090909091,11,352,247,299,399,377,451
V011,4.6839406018478424,0.030563955922732,7.521594489290351e-05,0.09281076251907242,0.0026273292387931145,0.002400000000000002,0.0014966629547095778,0.5,2,30,245,13,25,174,2
V012,0.05618989415698957,0.8126468975854447,0.0036317277050201824,0.0,0.002070806285103968,0.0040000000000000036,0.0029664793948382677,0.14285714285714285,7,409,167,299,81,84,251
V013,2.0343869684827007,0.15393240207934303,0.007917345268098064,0.044750155554652594,0.0023568766594894504,0.006600000000000006,0.0039038442591886303,0.25,4,102,98,99,38,30,101
V014,0.24783656821785485,0.6186573392643592,0.0,0.0,0.002262213099750528,0.004600000000000004,0.0038000000000000035,0.125,8,330,247,299,43,59,301
V015,1.060990050107951,0.303114158305049,0.0,0.0591882391552561,0.0014621034820108327,0.0018000000000000017,0.0024413111231467426,0.3333333333333333,3,168,247,60,398,213,51
V016,0.49669503962550277,0.4810380458243782,0.0,0.015689757008359208,0.0015404287022878877,0.0026000000000000025,0.0018000000000000015,0.2,5,252,247,214,360,156,151
V017,0.561745720040325,0.4536459541857482,0.0,0.0,0.0014523384129385413,0.002400000000000002,0.0028000000000000026,0.1111111111111111,9,242,247,299,402,174,351
V018,0.07553879760458636,0.7834651047326436,0.00023088616691380182,0.007176636289883505,0.001882177966031416,0.0038000000000000035,0.003026549190084314,0.14285714285714285,7,399,241,255,150,89,251
V019,1.9578339588425362,0.1619003850752931,0.0,0.048923713071876596,0.0018294496121068645,-0.0018000000000000017,0.004331281565541547,0.2,5,106,247,87,183,454,151
V020,1.481840168616683,0.2236305877140312,0.008246589989104436,0.03705415305741435,0.001380365993816852,0.001200000000000001,0.002400000000000002,0.2,5,135,93,124,426,263,151
V021,0.42953203107758103,0.5122941138671985,0.008335249706280745,0.0,0.0017489742329956496,0.0014000000000000013,0.0020099751242241798,0.125,8,272,91,299,228,245,301
V022,0.2603852226887952,0.6099119915213043,0.006043748644133373,0.0283902321211505,0.0015438178026939292,0.0030000000000000027,0.0020493901531919217,0.25,4,327,128,157,358,128,101
