feature_selection,k,Gradient Boosting,Linear SVM,Logistic Regression,RBF-SVM,Random Forest
ANOVA F-test,5,0.6766666666666666,0.6166666666666667,0.6133333333333333,0.7133333333333334,0.7133333333333334
ANOVA F-test,10,0.77,0.5983333333333334,0.5933333333333334,0.86,0.8516666666666667
ANOVA F-test,20,0.7583333333333333,0.5966666666666667,0.595,0.7766666666666666,0.86
ANOVA F-test,50,0.7216666666666667,0.5766666666666667,0.5766666666666667,0.675,0.8
ANOVA F-test,100,0.7266666666666667,0.5733333333333334,0.5716666666666667,0.6266666666666667,0.76
ANOVA F-test,200,0.735,0.565,0.5666666666666667,0.605,0.7466666666666667
ANOVA F-test,500,0.755,0.58,0.58,0.5933333333333334,0.7316666666666667
L1 Logistic,5,0.6183333333333333,0.615,0.6133333333333333,0.61,0.5816666666666667
L1 Logistic,10,0.59,0.5716666666666667,0.5733333333333334,0.5616666666666666,0.6033333333333334
L1 Logistic,20,0.615,0.58,0.58,0.57,0.5916666666666667
L1 Logistic,50,0.5866666666666667,0.5766666666666667,0.5733333333333334,0.5783333333333334,0.6033333333333334
L1 Logistic,100,0.5933333333333334,0.5533333333333333,0.5516666666666666,0.555,0.6166666666666667
L1 Logistic,200,0.6816666666666666,0.555,0.56,0.5733333333333334,0.6216666666666667
L1 Logistic,500,0.755,0.58,0.58,0.5933333333333334,0.72
Mutual Information,5,0.695,0.6016666666666667,0.6016666666666667,0.7183333333333334,0.725
Mutual Information,10,0.68,0.5916666666666667,0.59,0.65,0.7166666666666667
Mutual Information,20,0.71,0.5733333333333334,0.5733333333333334,0.6416666666666667,0.725
Mutual Information,50,0.7516666666666667,0.5566666666666666,0.555,0.5866666666666667,0.7666666666666667
Mutual Information,100,0.74,0.5733333333333334,0.57,0.6116666666666667,0.7333333333333333
Mutual Information,200,0.735,0.555,0.5533333333333333,0.6133333333333333,0.6983333333333334
Mutual Information,500,0.755,0.58,0.58,0.5933333333333334,0.7266666666666667
Permutation Importance,5,0.7516666666666667,0.5983333333333334,0.5966666666666667,0.8366666666666667,0.815
Permutation Importance,10,0.775,0.595,0.595,0.8883333333333333,0.8783333333333333
Permutation Importance,20,0.7933333333333333,0.6,0.5983333333333334,0.845,0.885
Permutation Importance,50,0.7683333333333333,0.5766666666666667,0.5783333333333334,0.7183333333333334,0.86
Permutation Importance,100,0.7533333333333333,0.585,0.5816666666666667,0.6816666666666666,0.82
Permutation Importance,200,0.765,0.5383333333333333,0.5366666666666666,0.5866666666666667,0.7866666666666666
Permutation Importance,500,0.7566666666666667,0.58,0.58,0.5933333333333334,0.745
RFE,5,0.52,0.52,0.52,0.5233333333333333,0.48333333333333334
RFE,10,0.5966666666666667,0.5533333333333333,0.5533333333333333,0.6083333333333333,0.6483333333333333
RFE,20,0.6966666666666667,0.545,0.5433333333333333,0.5983333333333334,0.725
RFE,50,0.7366666666666667,0.5583333333333333,0.5616666666666666,0.6766666666666666,0.8466666666666667
RFE,100,0.74,0.5483333333333333,0.5516666666666666,0.62,0.8133333333333334
RFE,200,0.76,0.5566666666666666,0.5616666666666666,0.6183333333333333,0.7583333333333333
RFE,500,0.7583333333333333,0.58,0.58,0.5933333333333334,0.7366666666666667
Random Forest,5,0.735,0.5966666666666667,0.5966666666666667,0.8,0.7833333333333333
Random Forest,10,0.7816666666666666,0.58,0.5816666666666667,0.8633333333333333,0.865
Random Forest,20,0.8066666666666666,0.5966666666666667,0.5983333333333334,0.8883333333333333,0.8916666666666667
Random Forest,50,0.78,0.5916666666666667,0.59,0.75,0.8616666666666667
Random Forest,100,0.7366666666666667,0.5933333333333334,0.5916666666666667,0.6833333333333333,0.8316666666666667
Random Forest,200,0.7583333333333333,0.575,0.5666666666666667,0.6266666666666667,0.79
Random Forest,500,0.7583333333333333,0.58,0.58,0.5933333333333334,0.715
