method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,feature_selection,k,classifier
ANOVA F-test + Logistic Regression,5,0.010087375005241483,0.0010434170253574848,0.6133333333333333,0.6133333333333333,0.6375888888888889,0.6133333333333333,ANOVA F-test,5,Logistic Regression
ANOVA F-test + Linear SVM,5,0.0028052079724147916,0.000859582971315831,0.6166666666666667,0.6166666666666667,0.6373333333333333,0.6166666666666667,ANOVA F-test,5,Linear SVM
ANOVA F-test + RBF-SVM,5,0.4386140000424348,0.07316166703822091,0.7133333333333334,0.7133333333333334,0.7904277777777777,0.693950177935943,ANOVA F-test,5,RBF-SVM
ANOVA F-test + Random Forest,5,0.22581450000870973,0.07612250000238419,0.7133333333333334,0.7133333333333334,0.7839888888888888,0.7084745762711865,ANOVA F-test,5,Random Forest
ANOVA F-test + Gradient Boosting,5,0.2701220419839956,0.0026939589879475534,0.6766666666666666,0.6766666666666667,0.7345888888888888,0.6755852842809364,ANOVA F-test,5,Gradient Boosting
ANOVA F-test + Logistic Regression,10,0.004645875014830381,0.0010544999968260527,0.5933333333333334,0.5933333333333333,0.6319,0.5946843853820598,ANOVA F-test,10,Logistic Regression
ANOVA F-test + Linear SVM,10,0.0031369999633170664,0.001030166051350534,0.5983333333333334,0.5983333333333334,0.6318333333333334,0.5976627712854758,ANOVA F-test,10,Linear SVM
ANOVA F-test + RBF-SVM,10,0.3661182079813443,0.05134487501345575,0.86,0.8600000000000001,0.9371555555555556,0.8576271186440678,ANOVA F-test,10,RBF-SVM
ANOVA F-test + Random Forest,10,0.22278462501708418,0.07491066597867757,0.8516666666666667,0.8516666666666667,0.9265444444444445,0.8504201680672269,ANOVA F-test,10,Random Forest
ANOVA F-test + Gradient Boosting,10,0.49998887500260025,0.0028310830239206553,0.77,0.77,0.8400555555555554,0.7661016949152543,ANOVA F-test,10,Gradient Boosting
ANOVA F-test + Logistic Regression,20,0.009650666965171695,0.0016357499989680946,0.595,0.595,0.6360555555555556,0.5817555938037866,ANOVA F-test,20,Logistic Regression
ANOVA F-test + Linear SVM,20,0.007520749990362674,0.0009972500265575945,0.5966666666666667,0.5966666666666667,0.6370888888888888,0.5827586206896552,ANOVA F-test,20,Linear SVM
ANOVA F-test + RBF-SVM,20,0.6290825830074027,0.07217825000407174,0.7766666666666666,0.7766666666666666,0.8641944444444445,0.7744107744107744,ANOVA F-test,20,RBF-SVM
ANOVA F-test + Random Forest,20,0.25506416702410206,0.05684949998976663,0.86,0.86,0.9355555555555554,0.8585858585858586,ANOVA F-test,20,Random Forest
ANOVA F-test + Gradient Boosting,20,0.8562678750022314,0.0037868330255150795,0.7583333333333333,0.7583333333333333,0.8361666666666667,0.7554806070826307,ANOVA F-test,20,Gradient Boosting
ANOVA F-test + Logistic Regression,50,0.02408516698051244,0.0019516669563017786,0.5766666666666667,0.5766666666666667,0.6077444444444444,0.563573883161512,ANOVA F-test,50,Logistic Regression
ANOVA F-test + Linear SVM,50,0.01031104096909985,0.0020354590378701687,0.5766666666666667,0.5766666666666667,0.6092555555555557,0.565068493150685,ANOVA F-test,50,Linear SVM
ANOVA F-test + RBF-SVM,50,1.0757119170157239,0.16061508300481364,0.675,0.675,0.7303,0.6818923327895595,ANOVA F-test,50,RBF-SVM
ANOVA F-test + Random Forest,50,0.2929166660178453,0.07468154199887067,0.8,0.8,0.8895888888888887,0.7923875432525952,ANOVA F-test,50,Random Forest
ANOVA F-test + Gradient Boosting,50,1.8764632499660365,0.0037592920125462115,0.7216666666666667,0.7216666666666667,0.8128777777777778,0.7164685908319185,ANOVA F-test,50,Gradient Boosting
ANOVA F-test + Logistic Regression,100,0.015026542008854449,0.0025070839910767972,0.5716666666666667,0.5716666666666667,0.6092777777777778,0.5680672268907563,ANOVA F-test,100,Logistic Regression
ANOVA F-test + Linear SVM,100,0.019431541033554822,0.0024916669935919344,0.5733333333333334,0.5733333333333333,0.6121333333333334,0.5719063545150501,ANOVA F-test,100,Linear SVM
ANOVA F-test + RBF-SVM,100,1.1215860829688609,0.217772290983703,0.6266666666666667,0.6266666666666667,0.6853055555555554,0.6216216216216216,ANOVA F-test,100,RBF-SVM
ANOVA F-test + Random Forest,100,0.3366329590207897,0.07799595803953707,0.76,0.76,0.8696388888888889,0.7534246575342466,ANOVA F-test,100,Random Forest
ANOVA F-test + Gradient Boosting,100,3.4327071250299923,0.00527679204242304,0.7266666666666667,0.7266666666666667,0.8209222222222221,0.7266666666666667,ANOVA F-test,100,Gradient Boosting
ANOVA F-test + Logistic Regression,200,0.027680457977112383,0.003861667006276548,0.5666666666666667,0.5666666666666667,0.6037888888888889,0.559322033898305,ANOVA F-test,200,Logistic Regression
ANOVA F-test + Linear SVM,200,0.042965375003404915,0.0041643750155344605,0.565,0.565,0.6067111111111112,0.5568760611205433,ANOVA F-test,200,Linear SVM
ANOVA F-test + RBF-SVM,200,1.5129794999957085,0.23178016697056592,0.605,0.605,0.6580777777777778,0.5878260869565217,ANOVA F-test,200,RBF-SVM
ANOVA F-test + Random Forest,200,0.428340999991633,0.055604042019695044,0.7466666666666667,0.7466666666666666,0.8277166666666667,0.7370242214532872,ANOVA F-test,200,Random Forest
ANOVA F-test + Gradient Boosting,200,6.697302499960642,0.006632459000684321,0.735,0.735,0.8241222222222222,0.736318407960199,ANOVA F-test,200,Gradient Boosting
ANOVA F-test + Logistic Regression,500,0.17551033396739513,0.010058540967293084,0.58,0.58,0.5994111111111111,0.5757575757575758,ANOVA F-test,500,Logistic Regression
