method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,pca_components,classifier
PCA + Logistic Regression,5,0.15982300002360716,0.009772166959010065,0.6,0.6,0.620688888888889,0.5959595959595959,5,Logistic Regression
PCA + Linear SVM,5,0.06692774995462969,0.01139800000237301,0.6016666666666667,0.6016666666666666,0.6209777777777779,0.596964586846543,5,Linear SVM
PCA + RBF-SVM,5,0.39803070802008733,0.05888341600075364,0.835,0.835,0.9209333333333334,0.8369028006589786,5,RBF-SVM
PCA + Random Forest,5,0.41148266597883776,0.10874208301538602,0.8233333333333334,0.8233333333333334,0.8968777777777778,0.8256578947368421,5,Random Forest
PCA + Logistic Regression,10,0.05430399999022484,0.009821125015150756,0.59,0.5900000000000001,0.6180777777777777,0.5886287625418061,10,Logistic Regression
PCA + Linear SVM,10,0.0727060409844853,0.014115291007328779,0.5933333333333334,0.5933333333333333,0.6187777777777778,0.5906040268456376,10,Linear SVM
PCA + RBF-SVM,10,0.5588319579837844,0.07539195904973894,0.8033333333333333,0.8033333333333333,0.8912555555555556,0.8078175895765473,10,RBF-SVM
PCA + Random Forest,10,0.4358710839878768,0.1285838329931721,0.7866666666666666,0.7866666666666666,0.8821944444444445,0.7866666666666666,10,Random Forest
PCA + Logistic Regression,20,0.22694616700755432,0.013583875028416514,0.5816666666666667,0.5816666666666667,0.6152666666666666,0.5837479270315091,20,Logistic Regression
PCA + Linear SVM,20,0.11924666597042233,0.011918250005692244,0.5816666666666667,0.5816666666666667,0.6156666666666666,0.5837479270315091,20,Linear SVM
PCA + RBF-SVM,20,1.1606574580073357,0.14299383299658075,0.77,0.77,0.8527444444444445,0.7788461538461539,20,RBF-SVM
PCA + Random Forest,20,0.6264711660332978,0.1752352910116315,0.775,0.775,0.8527388888888889,0.7804878048780488,20,Random Forest
PCA + Logistic Regression,50,0.5146577910054475,0.016308374993968755,0.5933333333333334,0.5933333333333334,0.6157888888888889,0.5892255892255892,50,Logistic Regression
PCA + Linear SVM,50,0.6662302080076188,0.016423666034825146,0.595,0.595,0.6161222222222222,0.5902192242833052,50,Linear SVM
PCA + RBF-SVM,50,1.3792055420344695,0.20884495798964053,0.68,0.6799999999999999,0.7546999999999999,0.6778523489932886,50,RBF-SVM
PCA + Random Forest,50,0.564264832995832,0.18263083294732496,0.7183333333333334,0.7183333333333333,0.8050777777777779,0.7060869565217391,50,Random Forest
PCA + Logistic Regression,100,0.15284887503366917,0.017470541002694517,0.585,0.585,0.6057555555555555,0.5743589743589743,100,Logistic Regression
PCA + Linear SVM,100,0.6617060410208069,0.017004249966703355,0.5833333333333334,0.5833333333333334,0.6066888888888889,0.5733788395904437,100,Linear SVM
PCA + RBF-SVM,100,1.5780537080136128,0.24237799999536946,0.6366666666666667,0.6366666666666667,0.7192333333333334,0.5992647058823529,100,RBF-SVM
PCA + Random Forest,100,0.728642417001538,0.1905456249951385,0.6816666666666666,0.6816666666666666,0.7718722222222222,0.6666666666666666,100,Random Forest
PCA + Logistic Regression,200,0.3557660419610329,0.01638945797458291,0.545,0.5449999999999999,0.5802333333333333,0.5396290050590219,200,Logistic Regression
PCA + Linear SVM,200,0.36590558401076123,0.017035875003784895,0.5483333333333333,0.5483333333333333,0.5807777777777777,0.5445378151260504,200,Linear SVM
PCA + RBF-SVM,200,1.8506685830070637,0.26538570795673877,0.595,0.595,0.6519055555555555,0.5605786618444847,200,RBF-SVM
PCA + Random Forest,200,1.0378832909627818,0.1374997500097379,0.6266666666666667,0.6266666666666667,0.7044111111111111,0.6151202749140894,200,Random Forest
PCA + Logistic Regression,300,0.6451952090137638,0.01605795801151544,0.5683333333333334,0.5683333333333334,0.5936444444444444,0.5690515806988353,300,Logistic Regression
PCA + Linear SVM,300,0.7448670000303537,0.01767700002528727,0.5633333333333334,0.5633333333333334,0.5945888888888888,0.5618729096989966,300,Linear SVM
PCA + RBF-SVM,300,2.6415237080072984,0.35758004197850823,0.5766666666666667,0.5766666666666667,0.6443000000000001,0.5415162454873647,300,RBF-SVM
PCA + Random Forest,300,1.5678675419767387,0.16977849998511374,0.6483333333333333,0.6483333333333333,0.6951222222222222,0.6417657045840407,300,Random Forest
PCA + Logistic Regression,500,0.8238527920329943,0.019302125030662864,0.58,0.58,0.5994111111111111,0.5757575757575758,500,Logistic Regression
PCA + Linear SVM,500,2.6533008749829605,0.025411083013750613,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,500,Linear SVM
PCA + RBF-SVM,500,6.322521333000623,0.5339160829898901,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,500,RBF-SVM
PCA + Random Forest,500,1.6952738750260323,0.12224545795470476,0.6033333333333334,0.6033333333333334,0.6641611111111112,0.6033333333333334,500,Random Forest
