component,explained_variance_ratio,cumulative_explained_variance
1,0.012926180022881711,0.012926180022881711
2,0.010048448074505762,0.022974628097387473
3,0.008647039057880014,0.031621667155267486
4,0.006293317100803177,0.037914984256070663
5,0.005083073788127655,0.04299805804419832
6,0.00432605899121072,0.047324117035409036
7,0.004309682096480842,0.051633799131889875
8,0.004253366757002988,0.055887165888892865
9,0.004214711123775148,0.06010187701266801
10,0.004205034447778296,0.0643069114604463
11,0.004153519704942543,0.06846043116538884
12,0.004141558057860282,0.07260198922324912
13,0.004127799807902438,0.07672978903115156
14,0.004097958958294314,0.08082774798944588
15,0.004076992802426391,0.08490474079187227
16,0.0040660131000617855,0.08897075389193405
17,0.004056240591551995,0.09302699448348604
18,0.004003889390178646,0.0970308838736647
19,0.003982850632237871,0.10101373450590256
20,0.003965900884543751,0.10497963539044632
21,0.0039340128390534836,0.1089136482294998
22,0.003913937066560394,0.11282758529606018
23,0.00390648704545651,0.1167340723415167
24,0.0038941656158911794,0.12062823795740787
25,0.003882249604693973,0.12451048756210184
26,0.0038531118595420584,0.1283635994216439
27,0.003840664984631936,0.13220426440627583
28,0.0038208598723888567,0.1360251242786647
29,0.0037905382193928233,0.13981566249805752
30,0.0037879966808473634,0.14360365917890489
31,0.003760283361234004,0.1473639425401389
32,0.00373658632445846,0.15110052886459735
33,0.003719891850617406,0.15482042071521476
34,0.003710933993824793,0.15853135470903956
35,0.003699109441296135,0.1622304641503357
36,0.003679148236573542,0.16590961238690924
37,0.0036607283346431134,0.16957034072155236
38,0.0036576318584062746,0.17322797257995864
39,0.0036447450549728336,0.17687271763493148
40,0.003630945328415618,0.1805036629633471
41,0.0036165247431772705,0.18412018770652439
42,0.0036034424954995035,0.1877236302020239
43,0.0035864442067527653,0.19131007440877668
44,0.0035785212054779136,0.1948885956142546
45,0.0035660052738273424,0.19845460088808192
46,0.003548742496633334,0.20200334338471526
47,0.003537040115869652,0.2055403835005849
48,0.0035301228772859723,0.20907050637787086
49,0.003514597591047719,0.21258510396891858
50,0.003499454358204539,0.21608455832712312
51,0.003480931684122419,0.21956549001124553
52,0.00347120384569388,0.22303669385693942
53,0.0034539157108341044,0.22649060956777353
54,0.003441090865229085,0.22993170043300262
55,0.003434552049836255,0.23336625248283888
56,0.003429093750056897,0.23679534623289578
57,0.0034116807851352613,0.24020702701803104
58,0.0034092519551339505,0.24361627897316498
59,0.0033898407549997896,0.24700611972816477
60,0.0033847025545778596,0.2503908222827426
61,0.003371197301843479,0.2537620195845861
62,0.003351582422792006,0.2571136020073781
63,0.003332488722751405,0.2604460907301295
64,0.0033193989698854444,0.2637654897000149
65,0.0033088382707216835,0.2670743279707366
66,0.003296329030598023,0.2703706570013346
67,0.003289924736003147,0.27366058173733776
68,0.0032772026487892197,0.276937784386127
69,0.0032712920815789375,0.28020907646770593
70,0.0032596050879664523,0.2834686815556724
71,0.003247013522258672,0.28671569507793104
72,0.003241571855714832,0.2899572669336459
73,0.0032308337326726402,0.2931881006663185
74,0.003225028826712865,0.2964131294930314
75,0.0032093299604676225,0.299622459453499
76,0.003189304918539824,0.3028117643720388
77,0.0031727723669230496,0.30598453673896187
78,0.0031667341263271437,0.309151270865289
79,0.0031561251470809456,0.31230739601236995
80,0.0031524986279262957,0.3154598946402962
81,0.0031410821372789216,0.31860097677757515
82,0.003125463637654676,0.32172644041522985
83,0.0031161456385367355,0.3248425860537666
84,0.003095991741426367,0.327938577795193
85,0.003081942958261101,0.33102052075345406
86,0.0030779226619343444,0.3340984434153884
87,0.0030747045523721087,0.33717314796776054
88,0.003072331599798688,0.34024547956755924
89,0.0030549383086753918,0.3433004178762346
90,0.003042044274302211,0.3463424621505368
91,0.0030319834674985245,0.3493744456180353
92,0.0030316330998432024,0.35240607871787855
93,0.0030267076284932917,0.3554327863463718
94,0.003019766200320964,0.3584525525466928
95,0.003010341907589377,0.36146289445428215
96,0.0029919851469831357,0.36445487960126527
97,0.002967919773216476,0.36742279937448175
98,0.002965516060635908,0.37038831543511763
99,0.002959916356177302,0.37334823179129495
100,0.002948472300533285,0.37629670409182825
101,0.0029333235358511185,0.3792300276276794
102,0.002930415203554161,0.3821604428312335
103,0.002902026943835355,0.38506246977506886
104,0.0028975527657423223,0.3879600225408112
105,0.0028945346888205174,0.3908545572296317
106,0.002883480102074883,0.3937380373317066
107,0.0028774993849717797,0.3966155367166784
108,0.002867682312597447,0.3994832190292758
109,0.0028585340449021027,0.4023417530741779
110,0.0028554872605909224,0.40519724033476884
111,0.0028490607333685274,0.4080463010681374
112,0.002837213228346539,0.4108835142964839
113,0.002826568921498864,0.41371008321798275
114,0.0028194907394176335,0.41652957395740037
115,0.0028119401904124737,0.41934151414781284
116,0.0028018952080040424,0.4221434093558169
117,0.0027840096456843754,0.42492741900150127
118,0.0027698192463909313,0.4276972382478922
119,0.0027643304219247644,0.43046156866981694
120,0.002758584584790264,0.4332201532546072
121,0.0027521596776543004,0.4359723129322615
122,0.002745919116451964,0.43871823204871346
123,0.002741769061471009,0.44146000111018446
124,0.002734343133300377,0.44419434424348486
125,0.002717333486749139,0.446911677730234
126,0.0027077651297590178,0.449619442859993
127,0.0027017883467100904,0.4523212312067031
128,0.002692050224449592,0.45501328143115266
129,0.0026788663532176992,0.45769214778437034
130,0.0026705003846587533,0.4603626481690291
131,0.002647227336846667,0.4630098755058758
132,0.002641167242797377,0.4656510427486732
133,0.0026379270976606426,0.46828896984633384
134,0.00261877580227008,0.47090774564860394
135,0.00261211086631596,0.4735198565149199
136,0.0026097248330823955,0.4761295813480023
137,0.0026020706210102902,0.47873165196901263
138,0.0025945651994966398,0.48132621716850926
139,0.002587858814384563,0.4839140759828938
140,0.0025798053821669336,0.4864938813650608
141,0.002577604055078261,0.48907148542013906
142,0.002569934209390313,0.4916414196295294
143,0.0025637351101917504,0.49420515473972115
144,0.002550661008707385,0.49675581574842853
145,0.0025334966861439915,0.49928931243457253
146,0.00252695149204175,0.5018162639266143
147,0.0025230313916717213,0.504339295318286
148,0.0025224551330820357,0.506861750451368
149,0.002502550868075788,0.5093643013194439
150,0.0024980415633504478,0.5118623428827943
151,0.0024927374982023566,0.5143550803809966
152,0.0024825894484209804,0.5168376698294176
153,0.0024785783701660666,0.5193162481995837
154,0.002477143148067655,0.5217933913476513
155,0.0024639327668060955,0.5242573241144575
156,0.0024481124758934042,0.5267054365903509
157,0.002441999850936875,0.5291474364412877
158,0.002435161953777504,0.5315825983950652
159,0.0024324207188402597,0.5340150191139055
160,0.002419919561288361,0.5364349386751939
161,0.002416265771551285,0.5388512044467452
162,0.0024102817181822413,0.5412614861649274
163,0.002405092982116706,0.5436665791470441
164,0.002400458120428022,0.5460670372674721
165,0.0023900325346477348,0.5484570698021198
166,0.0023787394204732868,0.5508358092225931
167,0.002374619135208811,0.5532104283578019
168,0.0023643708526340872,0.555574799210436
169,0.002358224907434587,0.5579330241178705
170,0.002350882543589366,0.5602839066614599
171,0.002340275070946772,0.5626241817324067
172,0.0023301261832424027,0.564954307915649
173,0.002322347055144801,0.5672766549707938
174,0.002319192945527775,0.5695958479163216
175,0.0023082694639093167,0.5719041173802308
176,0.0023007302107044196,0.5742048475909353
177,0.002293834715033284,0.5764986823059686
178,0.002279806191776315,0.5787784884977449
179,0.002277555737910933,0.5810560442356558
180,0.002267279627486833,0.5833233238631427
181,0.0022649269013864854,0.5855882507645291
182,0.002260992673452434,0.5878492434379816
183,0.0022540160564925643,0.5901032594944742
184,0.0022426712231019908,0.5923459307175761
185,0.002237544680218626,0.5945834753977948
186,0.0022330201859135043,0.5968164955837083
187,0.0022232656690546124,0.5990397612527629
188,0.0022161839528554903,0.6012559452056184
189,0.0022069399283276745,0.6034628851339461
190,0.002199521272430736,0.6056624064063768
191,0.0021909055091891565,0.607853311915566
192,0.0021867450453469956,0.610040056960913
193,0.002181381547321981,0.612221438508235
194,0.002175564430757388,0.6143970029389924
195,0.0021704579291738483,0.6165674608681662
196,0.0021616774398256133,0.6187291383079918
197,0.002157544148002848,0.6208866824559947
198,0.0021508263240406942,0.6230375087800354
199,0.0021452273944001,0.6251827361744355
200,0.002129001193298676,0.6273117373677343
201,0.002127672450270194,0.6294394098180045
202,0.002122962064625604,0.6315623718826301
203,0.0021116653419566136,0.6336740372245867
204,0.002105837733078993,0.6357798749576657
205,0.0020953543165309705,0.6378752292741967
206,0.002091200483611868,0.6399664297578086
207,0.0020860695186112896,0.6420524992764199
208,0.0020834295578895327,0.6441359288343095
209,0.00207445428666567,0.6462103831209751
210,0.002065588096322003,0.6482759712172971
211,0.00206456138920049,0.6503405326064976
212,0.0020569611628572294,0.6523974937693549
213,0.0020539112811066083,0.6544514050504615
214,0.0020480539365749792,0.6564994589870365
215,0.00203025776698896,0.6585297167540255
216,0.0020263967930424557,0.660556113547068
217,0.002016763719667818,0.6625728772667359
218,0.0020136182181325333,0.6645864954848684
219,0.002011861850280351,0.6665983573351487
220,0.0020097367415917618,0.6686080940767405
221,0.001996965754307022,0.6706050598310475
222,0.001985859147113012,0.6725909189781605
223,0.001984879892262471,0.674575798870423
224,0.0019815649167633158,0.6765573637871862
225,0.0019597393768326444,0.6785171031640189
226,0.001957638616618453,0.6804747417806374
227,0.0019474584079804812,0.6824222001886179
228,0.0019417670627030234,0.6843639672513209
229,0.001936405402180421,0.6863003726535013
230,0.0019327513535999364,0.6882331240071012
231,0.0019205644782460307,0.6901536884853473
232,0.0019190555528228509,0.6920727440381702
233,0.001911811661687402,0.6939845556998576
234,0.0019057152777406166,0.6958902709775983
235,0.0019009403885999019,0.6977912113661981
236,0.0018959756218937703,0.699687186988092
237,0.0018878137794924419,0.7015750007675844
238,0.0018835318002833519,0.7034585325678677
239,0.0018719367945755439,0.7053304693624433
240,0.0018653318101561165,0.7071958011725994
241,0.0018595900586603604,0.7090553912312597
242,0.001857597017268884,0.7109129882485286
243,0.0018500871292973877,0.7127630753778259
244,0.001844997288822687,0.7146080726666486
245,0.0018367451550892675,0.7164448178217379
246,0.001828467207258959,0.7182732850289968
247,0.0018253430113950176,0.7200986280403918
