method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,C,log10_C,nonzero_features
L1 Logistic,500,0.030474583036266267,0.01098587503656745,0.5,0.5,0.5,0.0,0.001,-3.0,0
L1 Logistic,500,0.03984912496525794,0.008004500006791204,0.6316666666666667,0.6316666666666666,0.6419222222222222,0.6310517529215359,0.01,-2.0,2
L1 Logistic,500,0.09442520805168897,0.009345041995402426,0.5816666666666667,0.5816666666666667,0.614311111111111,0.5767284991568297,0.1,-1.0,298
L1 Logistic,500,1.019596999976784,0.009039749973453581,0.5716666666666667,0.5716666666666668,0.5999555555555556,0.5666104553119731,1.0,0.0,469
L1 Logistic,500,1.050473624956794,0.009390084014739841,0.585,0.585,0.6012333333333333,0.5815126050420169,10.0,1.0,497
L1 Logistic,500,1.0751173340249807,0.008249417005572468,0.5833333333333334,0.5833333333333334,0.6013111111111111,0.5791245791245792,100.0,2.0,500
L2 Logistic,500,0.039737290993798524,0.00862750003580004,0.5783333333333334,0.5783333333333334,0.6141222222222222,0.5704584040747029,0.001,-3.0,500
L2 Logistic,500,0.07813804200850427,0.00973387499107048,0.58,0.5800000000000001,0.6019777777777777,0.5785953177257525,0.01,-2.0,500
L2 Logistic,500,0.12107475002994761,0.008390375005546957,0.5766666666666667,0.5766666666666667,0.5968777777777777,0.5723905723905723,0.1,-1.0,500
L2 Logistic,500,0.14528733299812302,0.008115792006719857,0.58,0.58,0.5994111111111111,0.5757575757575758,1.0,0.0,500
L2 Logistic,500,0.19381829199846834,0.008491542015690356,0.5833333333333334,0.5833333333333333,0.6013444444444445,0.5805369127516778,10.0,1.0,500
L2 Logistic,500,0.22820358304306865,0.008163416991010308,0.5783333333333334,0.5783333333333334,0.6010444444444444,0.5747899159663865,100.0,2.0,500
Elastic Net Logistic,500,0.04574916698038578,0.009484040958341211,0.5,0.5,0.5,0.0,0.001,-3.0,0
Elastic Net Logistic,500,0.2572499579982832,0.0088117920095101,0.6133333333333333,0.6133333333333333,0.6439555555555556,0.6067796610169491,0.01,-2.0,13
Elastic Net Logistic,500,1.2237482079654,0.007815707998815924,0.5833333333333334,0.5833333333333333,0.6054333333333333,0.576271186440678,0.1,-1.0,383
Elastic Net Logistic,500,3.4265206669806503,0.009207458992023021,0.5816666666666667,0.5816666666666667,0.5996,0.5767284991568297,1.0,0.0,487
Elastic Net Logistic,500,4.3896809999714606,0.008915374986827374,0.585,0.585,0.6012,0.5815126050420169,10.0,1.0,498
Elastic Net Logistic,500,4.746672916982789,0.007807541987858713,0.5833333333333334,0.5833333333333334,0.6012666666666666,0.5791245791245792,100.0,2.0,500
