method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,train_n,repeat
Logistic Regression,500,0.04127758299000561,0.010676999983843416,0.49333333333333335,0.4933333333333333,0.5006444444444444,0.4722222222222222,200,0
L1 Logistic,500,0.009548540983814746,0.008983083011116832,0.505,0.505,0.5148444444444444,0.4816753926701571,200,0
Linear SVM,500,0.013266999972984195,0.009400541021022946,0.49166666666666664,0.4916666666666667,0.4997000000000001,0.4714038128249567,200,0
RBF-SVM,500,0.03805500001180917,0.06212695798603818,0.5083333333333333,0.5083333333333333,0.5111611111111112,0.48873483535528595,200,0
Random Forest,500,0.20507187495240942,0.055200166010763496,0.5183333333333333,0.5183333333333333,0.5301722222222223,0.49029982363315694,200,0
Logistic Regression,500,0.010617125022690743,0.009694290987681597,0.4866666666666667,0.4866666666666667,0.5061333333333333,0.48322147651006714,200,1
L1 Logistic,500,0.009136167005635798,0.009148458018898964,0.49333333333333335,0.4933333333333333,0.5086444444444445,0.4722222222222222,200,1
Linear SVM,500,0.013892666960600764,0.008237792004365474,0.5,0.5,0.5053,0.4983277591973244,200,1
RBF-SVM,500,0.03567320801084861,0.06159895804012194,0.5133333333333333,0.5133333333333333,0.5272944444444445,0.5050847457627119,200,1
Random Forest,500,0.20786287501687184,0.05367187497904524,0.5216666666666666,0.5216666666666667,0.5262722222222223,0.5271828665568369,200,1
Logistic Regression,500,0.012844500015489757,0.009158750006463379,0.5466666666666666,0.5466666666666666,0.5553777777777777,0.5584415584415584,200,2
L1 Logistic,500,0.013520958018489182,0.008790042018517852,0.545,0.5449999999999999,0.5568444444444445,0.5560975609756098,200,2
Linear SVM,500,0.0118665830232203,0.011349041014909744,0.5466666666666666,0.5466666666666666,0.5525666666666667,0.5570032573289903,200,2
RBF-SVM,500,0.042676958022639155,0.06167208298575133,0.545,0.5449999999999999,0.5678333333333334,0.5531914893617021,200,2
Random Forest,500,0.18059750000247732,0.053530207951553166,0.57,0.5700000000000001,0.5866222222222223,0.5784313725490197,200,2
Logistic Regression,500,0.13911945797735825,0.009075875044800341,0.5166666666666667,0.5166666666666666,0.5242555555555555,0.5307443365695793,200,3
